displacement,cumulative_buoyancy
23060,21699.5
23060,21746.9
23060,21793.4
23060,21838.8
23060,21883.3
23060,21926.8
23060,21969.3
23060,22011
23060,22051.7
23060,22091.4
23060,22130.3
23060,22168.2
23060,22205.1
23060,22241.2
23060,22276.3
23060,22310.4
23060,22343.6
23060,22375.9
23060,22407.3
23060,22437.7
23060,22467.3
23060,22496.1
23060,22524.1
23060,22551.2
23060,22577.6
23060,22603.1
23060,22627.9
23060,22651.9
23060,22675
23060,22697.4
23060,22718.9
23060,22739.7
23060,22759.6
23060,22772.2
23060,22783.5
23060,22794.5
23060,22811.2
23060,22827.4
23060,22843
23060,22852.2
23060,22860.4
23060,22868.4
23060,22881.6
23060,22894.1
23060,22906.1
23060,22917.7
23060,22928.9
23060,22939.8
23060,22950.3
23060,22960.4
23060,22970.2
23060,22979.7
23060,22988.9
23060,22997.8
23060,23006.5
23060,23014.9
23060,23023
23060,23030.9
23060,23038.5
23060,23045
23060,23050.4
23060,23054.7
23060,23057.8
23060,23059.7
23060,23060.5
23060,23060.5
23060,23060.4
24060,0
24060,0
24060,0
24060,0
24060,0
24060,0
24060,0
24060,0
24060,0
24060,2.6
24060,5.2
24060,7.8
24060,10.4
24060,13
24060,15.6
24060,18.2
24060,20.8
24060,23.3
24060,26
24060,28.8
24060,31.9
24060,35.4
24060,39.6
24060,44.6
24060,50.6
24060,57.5
24060,65.5
24060,74.6
24060,84.7
24060,96.3
24060,109
24060,123.2
24060,138.8
24060,156.1
24060,175.3
24060,175.3
24060,196.6
24060,220.3
24060,246.6
24060,276
24060,308.2
24060,341.2
24060,377.1
24060,416
24060,457.9
24060,502.8
24060,550.8
24060,601.8
24060,656
24060,713.2
24060,773.6
24060,837.1
24060,903.5
24060,972.8
24060,1045
24060,1120.2
24060,1198.1
24060,1278.1
24060,1360
24060,1443.9
24060,1529.8
24060,1617.7
24060,1707.6
24060,1799.4
24060,1893.2
24060,1989
24060,2086.8
24060,2186.5
24060,2288.3
24060,2392
24060,2497.6
24060,2605.3
24060,2714.1
24060,2823.6
24060,2933.8
24060,3044.7
24060,3156.2
24060,3268.5
24060,3381.4
24060,3495
24060,3609.3
24060,3724.3
24060,3839.9
24060,3956.3
24060,4073.3
24060,4191
24060,4309.4
24060,4428.5
24060,4548.3
24060,4668.8
24060,4789.9
24060,4911.7
24060,5034.2
24060,5157.4
24060,5281.3
24060,5405.9
24060,5531.1
24060,5657.1
24060,5783.7
24060,5911
24060,6039
24060,6167.6
24060,6297
24060,6426.6
24060,6556.2
24060,6685.8
24060,6815.5
24060,6945.2
24060,7074.9
24060,7204.7
24060,7334.5
24060,7464.3
24060,7594.2
24060,7724.1
24060,7854
24060,7983.9
24060,8113.9
24060,8243.9
24060,8374
24060,8504
24060,8634.1
24060,8764.3
24060,8894.4
24060,9024.6
24060,9154.9
24060,9285.1
24060,9415.4
24060,9545.7
